epoch,learning_rate,physics_weight_epoch,physics_weight_step,poisson_train_loss_epoch,poisson_train_loss_step,poisson_val_loss,step,training_stage_epoch,training_stage_step
,,,0.0,,,,60,,1.0
,,,0.0,,,,61,,1.0
,,,0.0,,,,62,,1.0
,,,0.0,,,,63,,1.0
3,,0.0,,,,17851.990234375,63,1.0,
3,0.0010000000474974513,0.0,,17867.84765625,,,63,1.0,
4,,,0.0,,17971.373046875,,64,,1.0
4,,,0.0,,17781.416015625,,65,,1.0
4,,,0.0,,17718.609375,,66,,1.0
4,,,0.0,,17686.029296875,,67,,1.0
4,,,0.0,,17858.533203125,,68,,1.0
4,,,0.0,,17902.484375,,69,,1.0
4,,,0.0,,17775.26171875,,70,,1.0
4,,,0.0,,17809.591796875,,71,,1.0
4,,,0.0,,17722.71875,,72,,1.0
4,,,0.0,,17735.0625,,73,,1.0
4,,,0.0,,17606.0625,,74,,1.0
4,,,0.0,,17821.810546875,,75,,1.0
4,,,0.0,,17815.814453125,,76,,1.0
4,,,0.0,,17663.46484375,,77,,1.0
4,,,0.0,,17755.314453125,,78,,1.0
4,,,0.0,,17627.390625,,79,,1.0
,,,0.0,,,,64,,1.0
,,,0.0,,,,65,,1.0
,,,0.0,,,,66,,1.0
,,,0.0,,,,67,,1.0
,,,0.0,,,,68,,1.0
,,,0.0,,,,69,,1.0
,,,0.0,,,,70,,1.0
,,,0.0,,,,71,,1.0
,,,0.0,,,,72,,1.0
,,,0.0,,,,73,,1.0
,,,0.0,,,,74,,1.0
,,,0.0,,,,75,,1.0
,,,0.0,,,,76,,1.0
,,,0.0,,,,77,,1.0
,,,0.0,,,,78,,1.0
,,,0.0,,,,79,,1.0
4,,0.0,,,,17771.837890625,79,1.0,
4,0.0010000000474974513,0.0,,17765.68359375,,,79,1.0,
5,,,0.0,,17649.58984375,,80,,1.0
5,,,0.0,,17797.306640625,,81,,1.0
5,,,0.0,,17595.783203125,,82,,1.0
5,,,0.0,,17746.083984375,,83,,1.0
5,,,0.0,,17884.65234375,,84,,1.0
5,,,0.0,,17849.23046875,,85,,1.0
5,,,0.0,,17650.69140625,,86,,1.0
5,,,0.0,,17778.3359375,,87,,1.0
5,,,0.0,,17746.4765625,,88,,1.0
5,,,0.0,,17922.44921875,,89,,1.0
5,,,0.0,,17669.361328125,,90,,1.0
5,,,0.0,,17643.8671875,,91,,1.0
5,,,0.0,,17890.736328125,,92,,1.0
5,,,0.0,,17666.509765625,,93,,1.0
5,,,0.0,,17677.533203125,,94,,1.0
5,,,0.0,,17677.90625,,95,,1.0
,,,0.0,,,,80,,1.0
,,,0.0,,,,81,,1.0
,,,0.0,,,,82,,1.0
,,,0.0,,,,83,,1.0
,,,0.0,,,,84,,1.0
,,,0.0,,,,85,,1.0
,,,0.0,,,,86,,1.0
,,,0.0,,,,87,,1.0
,,,0.0,,,,88,,1.0
,,,0.0,,,,89,,1.0
,,,0.0,,,,90,,1.0
,,,0.0,,,,91,,1.0
,,,0.0,,,,92,,1.0
,,,0.0,,,,93,,1.0
,,,0.0,,,,94,,1.0
,,,0.0,,,,95,,1.0
5,,0.0,,,,17732.736328125,95,1.0,
5,0.0010000000474974513,0.0,,17740.408203125,,,95,1.0,
